,Nombre,Codigo,"Partic en
Indice Prec Y Cotiz",CoE,CARBON,Beta,Ln B/M,Lev,OIStd,EFdev,ROA,IND,YD 2022,YD 2021,YD 2020,YD 2019,YD 2018
1,Fomento Econ Mex,FEMSAUBD,10.020, 0.1037 , 2.7675 , 0.883 , 0.9575 , 0.5456 , 0.00850 , 0.243859 , 0.05502 ,1,0,1,0,0,0
2,America Movil,AMXB,8.890, 0.2596 , 7.9576 , 0.831 , 1.2574 , 0.7313 , 0.01590 , 0.301226 , 0.13030 ,0,0,1,0,0,0
3,GMexico,GMEXICOB,8.850, 0.1788 , 6.9340 , 1.115 , 0.7545 , 0.4337 , 0.02948 , 0.085841 , 0.15296 ,1,0,1,0,0,0
4,Wal Mart de Mexico,WALMEX,8.430, 0.0787 , 1.9156 , 0.606 , 1.9668 , 0.5287 , 0.02284 , 0.023205 , 0.12197 ,0,0,1,0,0,0
5,Cemex,CEMEXCPO,6.710, 0.2360 , 145.0949 , 1.392 , 0.0242 , 0.6146 , 0.03039 , 0.239240 , 0.02918 ,1,0,1,0,0,0
6,Gpo Aeroport Pacif,GAPB,4.280, 0.0851 , 2.4065 , 1.643 , 2.0141 , 0.6307 , 0.03979 , 0.149578 , 0.11767 ,0,0,1,0,0,0
7,Asureste,ASURB,3.900, 0.0901 , 2.6726 , 1.443 , 1.2272 , 0.3047 , 0.05694 , 0.166564 , 0.10590 ,0,0,1,0,0,0
8,Bimbo,BIMBOA,3.730, 0.1473 , 3.6388 , 0.422 , 1.0654 , 0.6991 , 0.01192 , 0.041316 , 0.05650 ,1,0,1,0,0,0
9,Arca Continental,AC,3.230, 0.1171 , 3.0413 , 0.625 , 0.6486 , 0.4181 , 0.01100 , 0.070692 , 0.06135 ,1,0,1,0,0,0
10,Gruma,GRUMAB,2.300, 0.1288 , 11.9877 , 0.621 , 1.2182 , 0.6247 , 0.01452 , 0.032981 , 0.08383 ,1,0,1,0,0,0
11,Elektra Gpo,ELEKTRA,1.980, 0.0736 , 0.4985 , 0.358 , 1.2023 , 0.7511 , 0.01797 , 0.379634 , 0.03491 ,0,0,1,0,0,0
12,Coca Cola Femsa,KOFUBL,1.930, 0.1255 , 0.8759 , 0.544 , 0.6886 , 0.5302 , 0.04814 , 0.118387 , 0.06208 ,1,0,1,0,0,0
13,Vesta,VESTA,1.800, 0.1401 , 0.3145 , 0.884 ,-0.0531 , 0.4733 , 0.00940 , 0.203569 , 0.07933 ,0,0,1,0,0,0
14,Kimberly Clark Mex,KIMBERA,1.730, 0.1007 , 14.3660 , 0.245 , 2.8131 , 0.8827 , 0.03245 , 0.114675 , 0.08365 ,1,0,1,0,0,0
15,OMA,OMAB,1.640, 0.0866 , 0.4902 , 1.606 , 1.5692 , 0.5090 , 0.07682 , 0.056165 , 0.15742 ,0,0,1,0,0,0
16,GCarso,GCARSOA1,1.560, 0.1229 , 3.8794 , 1.129 , 0.3517 , 0.3859 , 0.01356 , 0.176838 , 0.07259 ,1,0,1,0,0,0
17,Penoles Industrias,PE&OLES,1.390, 0.2317 , 17.4568 , 0.928 , 0.1680 , 0.4870 , 0.04561 , 0.117293 , 0.06252 ,1,0,1,0,0,0
18,Alfa,ALFAA,1.340, 0.2970 , 9.9056 , 1.642 , 0.6348 , 0.7963 , 0.02761 , 0.241885 , 0.02900 ,1,0,1,0,0,0
19,Alsea,ALSEA,1.210, 0.2899 , 3.4716 , 2.433 , 1.4269 , 0.8955 , 0.04077 , 1.247215 , 0.00946 ,1,0,1,0,0,0
20,Cementos Chihuahua,GCC,1.110, 0.1318 , 20.3091 , 1.028 , 0.6713 , 0.4102 , 0.01450 , 0.057153 , 0.07309 ,1,0,1,0,0,0
21,Chedraui Grupo,CHDRAUIB,1.090, 0.1931 , 10.2486 , 0.479 , 0.2283 , 0.7684 , 0.01518 , 0.191861 , 0.03848 ,0,0,1,0,0,0
22,Liverpool Puerto de,LIVEPOLC-1,1.030, 0.1427 , 1.5288 , 1.619 ,-0.0041 , 0.4599 , 0.03307 , 0.057283 , 0.06287 ,0,0,1,0,0,0
23,Prom Y Op de Infra,PINFRA,1.010, 0.1187 , 1.7340 , 0.865 , 0.3559 , 0.2732 , 0.01015 , 0.129953 , 0.08670 ,1,0,1,0,0,0
24,Orbia,ORBIA,0.910, 0.2976 , 11.0692 , 1.387 , 0.6728 , 0.6784 , 0.01452 , 0.143643 , 0.07772 ,1,0,1,0,0,0
25,Megacable Holdings,MEGACPO,0.800, 0.2088 , 6.0706 , 0.261 , 0.5783 , 0.3474 , 0.01584 , 0.130498 , 0.07294 ,0,0,1,0,0,0
26,Televisa Gpo,TLEVISACPO,0.760, 0.6057 , 2.4871 , 1.129 , 0.2908 , 0.6714 , 0.00735 , 0.270113 , 0.02711 ,0,0,1,0,0,0
27,Cuervo,CUERVO,0.580, 0.0666 , 1.6531 , 0.446 , 1.1509 , 0.3883 , 0.01080 , 0.089244 , 0.06170 ,0,0,1,0,0,0
28,Genomma Lab Intern,LABB,0.470, 0.1073 , 0.3019 , 0.587 , 0.8042 , 0.5325 , 0.10242 , 0.093993 , 0.05909 ,0,0,1,0,0,0
29,Aleatica,ALEATIC,-, 0.0466 , 0.5269 , 0.908 ,-0.2005 , 0.4828 , 0.06091 , 0.022757 ,-0.01965 ,1,0,1,0,0,0
30,Alpek,ALPEKA,-, 0.2653 , 16.8348 , 1.213 , 0.0726 , 0.5999 , 0.08445 , 0.147388 , 0.09587 ,1,0,1,0,0,0
31,Tenedora Nemak,NEMAKA,-, 0.4071 , 14.1154 , 0.940 ,-0.6480 , 0.6497 , 0.02861 , 0.342186 , 0.00087 ,1,0,1,0,0,0
32,Volaris,VOLARA,-, 0.2943 , 59.6114 , 2.153 , 1.8941 , 0.9214 , 0.07308 , 0.090846 , 0.03195 ,1,0,1,0,0,0
,,,,,,,,,,,,,,,,,
